Type of Product,Date of Purchase,Time of Purchase,Cost of Purchase,Qty of Purchase,With Promotion,Customer ID,Seller Brand,Seller ID,Rating,Time Taken for Transaction (s)
Fashion,11/02/2020,2023-03-18 19:21:36.241247,51.34,10,0,56894,H&M,874,3,36.37
Fashion,03/02/2020,2023-03-18 18:32:23.241261,806.1,2,1,75487,Reebok,531,5,50.18
Fashion,11/01/2022,2023-03-18 20:07:44.241263,249.19,1,0,33096,Primark,738,2,34.43
Fashion,21/08/2020,2023-03-18 18:41:15.241265,957.09,8,0,23708,Bershka,867,2,32.61
Fashion,16/09/2020,2023-03-18 18:10:32.241266,194.55,10,1,77889,Missguided,544,1,41.23
Fashion,21/05/2020,2023-03-18 18:35:20.241268,174.78,6,0,49869,Temt,952,5,106.06
Fashion,20/04/2021,2023-03-18 20:07:38.241270,14.5,7,1,75590,Bershka,790,5,79.17
Fashion,03/02/2022,2023-03-18 19:10:13.241271,289.97,2,0,60262,Ally Fashion,573,3,19.55
Fashion,26/07/2021,2023-03-18 18:42:17.241273,712.42,7,1,92893,Bershka,304,5,54.1
Fashion,14/05/2020,2023-03-18 18:03:29.241275,820.56,2,1,57564,H&M,882,5,99.55
Fashion,24/05/2020,2023-03-18 19:43:08.241276,42.49,1,1,38437,Ally Fashion,774,2,43.65
Fashion,30/06/2020,2023-03-18 18:32:52.241278,3.31,6,1,44183,Sportsgirl,576,2,28.06
Fashion,28/01/2022,2023-03-18 19:52:42.241280,353.07,3,1,69199,Primark,743,1,118.54
Fashion,22/07/2021,2023-03-18 18:51:15.241281,523.35,10,1,21642,Fashion Nova,719,3,6.03
Fashion,19/08/2020,2023-03-18 19:30:30.241283,281.43,10,1,45438,Supre,418,4,32.86
Fashion,04/08/2020,2023-03-18 19:03:16.241285,382.32,1,0,76075,Ally Fashion,298,4,10.97
Fashion,04/01/2021,2023-03-18 19:14:25.241286,564.81,9,1,35461,Boohoo,275,4,5.63
Fashion,23/01/2022,2023-03-18 18:39:16.241288,300.47,5,1,19422,Sportsgirl,395,5,27.49
Fashion,13/08/2020,2023-03-18 18:09:54.241290,107.85,8,1,26586,Oysho,404,5,31.17
Fashion,20/04/2020,2023-03-18 20:16:11.241291,521.99,8,1,56254,Reserved,332,4,69.42
Fashion,17/07/2020,2023-03-18 18:10:39.241293,983.63,8,1,57812,Missguided,487,4,16.04
Fashion,09/11/2021,2023-03-18 18:23:30.241294,697.14,3,1,47099,AS Colour,913,1,100.23
Fashion,07/12/2021,2023-03-18 18:34:07.241296,413.98,6,0,37530,Mango Outlet,160,1,23.86
Fashion,10/09/2021,2023-03-18 18:15:21.241298,115.4,9,0,68401,Stradivarius,669,2,55.63
Fashion,14/05/2020,2023-03-18 17:42:10.241299,191.14,8,1,21382,Primark,533,4,17.94
Fashion,05/03/2020,2023-03-18 20:02:15.241301,168.48,5,1,58848,Reebok,602,2,41.02
Fashion,20/11/2021,2023-03-18 19:40:05.241302,687.06,2,0,14322,H&M,996,4,108.06
Fashion,25/04/2020,2023-03-18 19:49:19.241304,310.41,4,1,91272,Supre,814,2,16.84
